year,predicted_score,country_code,country_name
2024,5.71,ABW,Aruba
2025,5.71,ABW,Aruba
2026,5.71,ABW,Aruba
2027,5.71,ABW,Aruba
2028,5.71,ABW,Aruba
2029,61.98,ABW,Aruba
2030,62.38,ABW,Aruba
2031,62.78,ABW,Aruba
2032,63.18,ABW,Aruba
2033,63.57,ABW,Aruba
2034,63.95,ABW,Aruba
2035,64.33,ABW,Aruba
2036,64.71,ABW,Aruba
2037,65.08,ABW,Aruba
2038,65.45,ABW,Aruba
2039,65.82,ABW,Aruba
2040,66.18,ABW,Aruba
2024,75.65,AFE,Africa Eastern and Southern
2025,70.3,AFE,Africa Eastern and Southern
2026,60.35,AFE,Africa Eastern and Southern
2027,60.46,AFE,Africa Eastern and Southern
2028,60.66,AFE,Africa Eastern and Southern
2029,60.99,AFE,Africa Eastern and Southern
2030,61.32,AFE,Africa Eastern and Southern
2031,61.65,AFE,Africa Eastern and Southern
2032,61.99,AFE,Africa Eastern and Southern
2033,62.33,AFE,Africa Eastern and Southern
2034,62.68,AFE,Africa Eastern and Southern
2035,63.04,AFE,Africa Eastern and Southern
2036,63.4,AFE,Africa Eastern and Southern
2037,63.76,AFE,Africa Eastern and Southern
2038,64.13,AFE,Africa Eastern and Southern
2039,64.5,AFE,Africa Eastern and Southern
2040,64.87,AFE,Africa Eastern and Southern
2024,5.71,AFG,Afghanistan
2025,5.71,AFG,Afghanistan
2026,5.71,AFG,Afghanistan
2027,5.71,AFG,Afghanistan
2028,5.71,AFG,Afghanistan
2029,59.41,AFG,Afghanistan
2030,59.79,AFG,Afghanistan
2031,60.17,AFG,Afghanistan
2032,60.55,AFG,Afghanistan
2033,60.92,AFG,Afghanistan
2034,61.28,AFG,Afghanistan
2035,61.65,AFG,Afghanistan
2036,62.0,AFG,Afghanistan
2037,62.36,AFG,Afghanistan
2038,62.71,AFG,Afghanistan
2039,63.05,AFG,Afghanistan
2040,63.39,AFG,Afghanistan
2024,78.83,AFW,Africa Western and Central
2025,72.38,AFW,Africa Western and Central
2026,60.75,AFW,Africa Western and Central
2027,60.84,AFW,Africa Western and Central
2028,61.02,AFW,Africa Western and Central
2029,61.35,AFW,Africa Western and Central
2030,61.68,AFW,Africa Western and Central
2031,62.01,AFW,Africa Western and Central
2032,62.34,AFW,Africa Western and Central
2033,62.68,AFW,Africa Western and Central
2034,63.02,AFW,Africa Western and Central
2035,63.37,AFW,Africa Western and Central
2036,63.73,AFW,Africa Western and Central
2037,64.09,AFW,Africa Western and Central
2038,64.45,AFW,Africa Western and Central
2039,64.82,AFW,Africa Western and Central
2040,65.18,AFW,Africa Western and Central
2024,76.14,AGO,Angola
2025,73.88,AGO,Angola
2026,68.07,AGO,Angola
2027,60.7,AGO,Angola
2028,60.86,AGO,Angola
2029,61.18,AGO,Angola
2030,61.51,AGO,Angola
2031,61.84,AGO,Angola
2032,62.17,AGO,Angola
2033,62.51,AGO,Angola
2034,62.85,AGO,Angola
2035,63.2,AGO,Angola
2036,63.56,AGO,Angola
2037,63.92,AGO,Angola
2038,64.28,AGO,Angola
2039,64.64,AGO,Angola
2040,65.01,AGO,Angola
2024,69.67,ALB,Albania
2025,67.7,ALB,Albania
2026,63.39,ALB,Albania
2027,57.78,ALB,Albania
2028,57.99,ALB,Albania
2029,58.32,ALB,Albania
2030,58.66,ALB,Albania
2031,59.01,ALB,Albania
2032,59.37,ALB,Albania
2033,59.74,ALB,Albania
2034,60.1,ALB,Albania
2035,60.47,ALB,Albania
2036,60.84,ALB,Albania
2037,61.21,ALB,Albania
2038,61.59,ALB,Albania
2039,61.96,ALB,Albania
2040,62.34,ALB,Albania
2024,5.71,AND,Andorra
2025,5.71,AND,Andorra
2026,5.71,AND,Andorra
2027,5.71,AND,Andorra
2028,5.71,AND,Andorra
2029,62.69,AND,Andorra
2030,63.1,AND,Andorra
2031,63.5,AND,Andorra
2032,63.9,AND,Andorra
2033,64.29,AND,Andorra
2034,64.68,AND,Andorra
2035,65.06,AND,Andorra
2036,65.44,AND,Andorra
2037,65.82,AND,Andorra
2038,66.19,AND,Andorra
2039,66.55,AND,Andorra
2040,66.92,AND,Andorra
2024,47.99,ARB,Arab World
2025,52.43,ARB,Arab World
2026,57.41,ARB,Arab World
2027,57.93,ARB,Arab World
2028,58.09,ARB,Arab World
2029,58.43,ARB,Arab World
2030,58.78,ARB,Arab World
2031,59.13,ARB,Arab World
2032,59.49,ARB,Arab World
2033,59.86,ARB,Arab World
2034,60.22,ARB,Arab World
2035,60.6,ARB,Arab World
2036,60.97,ARB,Arab World
2037,61.34,ARB,Arab World
2038,61.72,ARB,Arab World
2039,62.1,ARB,Arab World
2040,62.48,ARB,Arab World
2024,5.78,ARE,United Arab Emirates
2025,9.08,ARE,United Arab Emirates
2026,21.6,ARE,United Arab Emirates
2027,36.53,ARE,United Arab Emirates
2028,41.86,ARE,United Arab Emirates
2029,42.28,ARE,United Arab Emirates
2030,42.7,ARE,United Arab Emirates
2031,43.13,ARE,United Arab Emirates
2032,43.56,ARE,United Arab Emirates
2033,43.98,ARE,United Arab Emirates
2034,44.41,ARE,United Arab Emirates
2035,44.85,ARE,United Arab Emirates
2036,45.28,ARE,United Arab Emirates
2037,45.71,ARE,United Arab Emirates
2038,46.14,ARE,United Arab Emirates
2039,46.55,ARE,United Arab Emirates
